frame_id,matched,leap_nhands,leap_conf,palm_x,palm_y,palm_z,grab_pct
87,1,0,0.000,0.0,0.0,0.0,0
165,1,0,0.000,0.0,0.0,0.0,0
242,1,0,0.000,0.0,0.0,0.0,0
325,1,0,0.000,0.0,0.0,0.0,0
406,1,0,0.000,0.0,0.0,0.0,0
486,1,0,0.000,0.0,0.0,0.0,0
565,1,0,0.000,0.0,0.0,0.0,0
643,1,0,0.000,0.0,0.0,0.0,0
722,1,0,0.000,0.0,0.0,0.0,0
803,1,0,0.000,0.0,0.0,0.0,0
885,1,0,0.000,0.0,0.0,0.0,0
965,1,0,0.000,0.0,0.0,0.0,0
1048,1,1,0.109,68.9,207.6,-122.5,0
1126,1,0,0.000,0.0,0.0,0.0,0
1207,1,0,0.000,0.0,0.0,0.0,0
1288,1,0,0.000,0.0,0.0,0.0,0
1367,1,0,0.000,0.0,0.0,0.0,0
1447,1,0,0.000,0.0,0.0,0.0,0
1527,1,0,0.000,0.0,0.0,0.0,0
1609,1,0,0.000,0.0,0.0,0.0,0
1690,1,0,0.000,0.0,0.0,0.0,0
1772,1,0,0.000,0.0,0.0,0.0,0
1853,1,0,0.000,0.0,0.0,0.0,0
1937,1,0,0.000,0.0,0.0,0.0,0
2022,1,0,0.000,0.0,0.0,0.0,0
2104,1,0,0.000,0.0,0.0,0.0,0
2187,1,0,0.000,0.0,0.0,0.0,0
2270,1,0,0.000,0.0,0.0,0.0,0
2353,1,0,0.000,0.0,0.0,0.0,0
2432,1,0,0.000,0.0,0.0,0.0,0
2515,1,0,0.000,0.0,0.0,0.0,0
2598,1,0,0.000,0.0,0.0,0.0,0
2677,1,0,0.000,0.0,0.0,0.0,0
2759,1,0,0.000,0.0,0.0,0.0,0
2843,1,0,0.000,0.0,0.0,0.0,0
2926,1,0,0.000,0.0,0.0,0.0,0
