frame_id,matched,leap_nhands,leap_conf,palm_x,palm_y,palm_z,grab_pct
2935,1,0,0.000,0.0,0.0,0.0,0
3024,1,1,0.265,-103.6,224.0,-250.0,0
3113,1,1,0.266,-103.1,222.6,-249.8,0
3201,1,1,0.227,-104.4,225.3,-249.3,0
3290,1,1,0.266,-102.9,223.6,-249.8,0
3379,1,1,0.252,-101.7,221.3,-249.0,0
3468,1,1,0.284,-101.8,221.9,-249.2,0
3557,1,1,0.288,-102.7,222.7,-249.2,0
3645,1,1,0.227,-102.0,221.8,-249.0,0
3734,1,1,0.281,-101.9,221.5,-248.6,0
3823,1,1,0.289,-103.0,222.8,-248.8,0
3912,1,1,0.258,-103.1,223.2,-249.3,0
4001,1,1,0.266,-102.6,222.4,-248.9,0
4090,1,1,0.281,-102.1,222.0,-249.2,0
4179,1,1,0.257,-100.6,219.5,-249.0,0
4267,1,1,0.277,-101.7,221.2,-250.2,0
4356,1,1,0.213,-102.8,222.1,-249.7,0
4444,1,1,0.277,-100.6,219.9,-249.0,0
4533,1,1,0.244,-99.0,218.2,-249.0,0
4621,1,1,0.272,-99.9,219.0,-249.0,0
